901;0135800;0135899;100;"""Т2 Мобайл"" ООО";08;20;D0820
901;0135900;0135999;100;"""Т2 Мобайл"" ООО";02;20;D0220
901;0136000;0136099;100;"""Т2 Мобайл"" ООО";17;20;D1720
901;0136100;0136199;100;"""Т2 Мобайл"" ООО";41;20;D4120
901;0136200;0136299;100;"""Т2 Мобайл"" ООО";29;20;D2920
901;0136300;0136399;100;"""Т2 Мобайл"" ООО";26;20;D2620
901;0136400;0136499;100;"""Т2 Мобайл"" ООО";50;20;D5020
901;0136500;0136599;100;"""Т2 Мобайл"" ООО";09;20;D0920
901;0136600;0136699;100;"""Т2 Мобайл"" ООО";23;20;D2320
901;0136700;0136799;100;"""Т2 Мобайл"" ООО";79;39;D7939
901;0136800;0136899;100;"""Т2 Мобайл"" ООО";31;20;D3120
901;0136900;0136999;100;"""Т2 Мобайл"" ООО";24;20;D2420
901;0137000;0137099;100;"""Т2 Мобайл"" ООО";36;20;D3620
901;0137100;0137199;100;"""МиАТел"" ООО";78;16;D7816
901;0137200;0137999;800;"""МиАТел"" ООО";78;16;D7816
901;0138000;0139999;2000;"""Межрегиональный ТранзитТелеком"" АО";22;42;D2242
901;0140000;0169999;30000;"""Т2 Мобайл"" ООО";25;20;D2520
901;0170000;0199999;30000;"""Т2 Мобайл"" ООО";17;20;D1720
901;0200000;0209999;10000;"""Т2 Мобайл"" ООО";05;20;D0520
901;0210000;0238499;28500;"""Тандер"" АО";62;20;D6220
901;0300000;0399999;100000;"""Т2 Мобайл"" ООО";40;20;D4020
901;0400000;0499999;100000;"""Т2 Мобайл"" ООО";76;20;D7620
901;0500000;0599999;100000;"""Т2 Мобайл"" ООО";76;20;D7620
901;0600000;0699999;100000;"""Плинтрон"" ООО";77;20;D7720
901;0700000;0749999;50000;"""Плинтрон"" ООО";78;20;D7820
901;0750000;0758999;9000;"""МОЙ ОПЕРАТОР"" ООО";77;20;D7720
901;0759000;0763999;5000;"""МОЙ ОПЕРАТОР"" ООО";78;20;D7820
901;0764000;0764499;500;"""МОЙ ОПЕРАТОР"" ООО";54;20;D5420
901;0764500;0764999;500;"""МОЙ ОПЕРАТОР"" ООО";75;20;D7520
901;0777000;0777999;1000;"""Межрегиональный ТранзитТелеком"" АО";77;42;D7742
901;0800000;0899999;100000;"""Т2 Мобайл"" ООО";58;20;D5820
901;0900000;0919999;20000;"""СИМ ТЕЛЕКОМ"" ООО";77;47;D7747
901;0920000;0929999;10000;"""Т2 Мобайл"" ООО";39;20;D3920
901;0930000;0939999;10000;"""Т2 Мобайл"" ООО";39;20;D3920
901;0940000;0949999;10000;"""Т2 Мобайл"" ООО";63;20;D6320
901;0950000;0999999;50000;"""Т2 Мобайл"" ООО";58;20;D5820
901;1000000;1019999;20000;"""Т2 Мобайл"" ООО";25;20;D2520
901;1020000;1029999;10000;"""Т2 Мобайл"" ООО";25;20;D2520
